2026-08-25 07:37:31 | INFO     | pipeline.summarization | Summarization complete for 0 articles
2026-08-25 07:37:31 | INFO     | pipeline.orchestrator | Pipeline run complete.
2026-08-25 07:37:31 | INFO     | pipeline.orchestrator | Exported final processed dataset (0 articles) to /home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/processed_news_export.json
2026-08-25 07:37:31 | INFO     | data_acquisition.database.raw_news_db | Database connection closed (/home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db)
2026-08-25 07:37:31 | INFO     | pipeline.processed_news_db | Processed news database connection closed (/home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db)
2026-08-25 07:37:35 | INFO     | data_acquisition.database.raw_news_db | Connected to raw news database at /home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db
2026-08-25 07:37:35 | INFO     | data_acquisition.database.raw_news_db | Database connection closed (/home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db)
2026-08-25 07:37:41 | INFO     | data_acquisition.database.raw_news_db | Connected to raw news database at /home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db
2026-08-25 07:37:41 | INFO     | data_acquisition.database.raw_news_db | Database connection closed (/home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db)
2026-08-25 07:37:45 | INFO     | data_acquisition.database.raw_news_db | Connected to raw news database at /home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db
2026-08-25 07:37:45 | INFO     | pipeline.processed_news_db | Connected to processed news database at /home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db
2026-08-25 07:37:45 | INFO     | pipeline.preprocessing | Preprocessing complete: 52 ok, 0 duplicate, 0 empty, 0 error (of 52)
2026-08-25 07:37:45 | INFO     | pipeline.classification | Classification complete for 52 articles
2026-08-25 07:37:45 | INFO     | pipeline.duplicate_detection | Duplicate detection complete: 0 groups, 0 marked duplicate (of 52 articles)
2026-08-25 07:37:45 | INFO     | pipeline.extraction | Extraction complete for 52 articles
2026-08-25 07:37:45 | INFO     | pipeline.summarization | Summarization complete for 52 articles
2026-08-25 07:37:45 | INFO     | pipeline.orchestrator | Pipeline run complete.
2026-08-25 07:37:45 | INFO     | pipeline.orchestrator | Exported final processed dataset (52 articles) to /home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/processed_news_export.json
2026-08-25 07:37:45 | INFO     | data_acquisition.database.raw_news_db | Database connection closed (/home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db)
2026-08-25 07:37:45 | INFO     | pipeline.processed_news_db | Processed news database connection closed (/home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db)
2026-08-25 07:38:20 | INFO     | data_acquisition.database.raw_news_db | Connected to raw news database at /home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db
2026-08-25 07:38:20 | INFO     | pipeline.processed_news_db | Connected to processed news database at /home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db
2026-08-25 07:38:20 | INFO     | pipeline.extraction | Extraction complete for 52 articles
2026-08-25 07:38:20 | INFO     | data_acquisition.database.raw_news_db | Database connection closed (/home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db)
2026-08-25 07:38:20 | INFO     | pipeline.processed_news_db | Processed news database connection closed (/home/claude/project/UrduNewsAI_DataAcquisition/data_acquisition/data/raw_news.db)
2026-08-25 07:39:04 | INFO     | pipeline.preprocessing | Preprocessing complete: 1 ok, 0 duplicate, 1 empty, 0 error (of 2)
2026-08-25 07:39:04 | INFO     | pipeline.classification | Classification complete for 2 articles
2026-08-25 07:39:04 | INFO     | pipeline.duplicate_detection | Duplicate detection complete: 1 groups, 1 marked duplicate (of 3 articles)
2026-08-25 07:39:04 | INFO     | pipeline.duplicate_detection | Duplicate detection complete: 0 groups, 0 marked duplicate (of 2 articles)
2026-08-25 07:39:04 | INFO     | pipeline.extraction | Extraction complete for 1 articles
2026-08-25 07:39:41 | INFO     | pipeline.preprocessing | Preprocessing complete: 1 ok, 0 duplicate, 1 empty, 0 error (of 2)
2026-08-25 07:39:41 | INFO     | pipeline.classification | Classification complete for 2 articles
2026-08-25 07:39:41 | INFO     | pipeline.duplicate_detection | Duplicate detection complete: 1 groups, 1 marked duplicate (of 3 articles)
2026-08-25 07:39:41 | INFO     | pipeline.duplicate_detection | Duplicate detection complete: 0 groups, 0 marked duplicate (of 2 articles)
2026-08-25 07:39:41 | INFO     | pipeline.extraction | Extraction complete for 1 articles
2026-08-25 07:39:42 | INFO     | data_acquisition.database.raw_news_db | Connected to raw news database at /tmp/pytest-of-root/pytest-0/test_insert_and_count0/test_raw_news.db
2026-08-25 07:39:42 | INFO     | data_acquisition.database.raw_news_db | Database connection closed (/tmp/pytest-of-root/pytest-0/test_insert_and_count0/test_raw_news.db)
2026-08-25 07:39:42 | INFO     | data_acquisition.database.raw_news_db | Connected to raw news database at /tmp/pytest-of-root/pytest-0/test_duplicate_url_is_ignored0/test_raw_news.db
2026-08-25 07:39:42 | INFO     | data_acquisition.database.raw_news_db | Database connection closed (/tmp/pytest-of-root/pytest-0/test_duplicate_url_is_ignored0/test_raw_news.db)
2026-08-25 07:39:42 | INFO     | data_acquisition.database.raw_news_db | Connected to raw news database at /tmp/pytest-of-root/pytest-0/test_empty_title_is_rejected0/test_raw_news.db
2026-08-25 07:39:42 | WARNING  | data_acquisition.database.raw_news_db | Skipping article with empty title (source=s)
